,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
43,9,2.2039477825164795,0.05622490122914314,2.3842721509391973,0.18637274205684662,relu,tanh,tanh,tanh,tanh,512,0.4,,30,uniform,softmax,categorical_crossentropy,3.0000700000000005,32,32,256,<class 'keras.optimizers.RMSprop'>,
328,7,1.9491827487945557,0.05622490122914314,1.9631541295296842,0.1656646579504013,relu,relu,tanh,elu,relu,512,0.45,,10,uniform,softmax,categorical_crossentropy,8.000020000000001,128,256,32,<class 'keras.optimizers.RMSprop'>,
1482,5,2.1449983186989905,0.05622490122914314,1.9120719119080243,0.23179692029953003,elu,relu,relu,tanh,relu,256,0.1,,30,uniform,softmax,categorical_crossentropy,1.0000900000000001,128,256,256,<class 'keras.optimizers.Nadam'>,
460,7,2.8467254581221617,0.05622490122914314,2.782512354548167,0.17034068703651428,elu,tanh,tanh,tanh,tanh,256,0.1,,30,uniform,softmax,categorical_crossentropy,5.000050000000001,128,32,32,<class 'keras.optimizers.RMSprop'>,
1171,6,3.4563285241644066,0.05622490122914314,3.34897196810486,0.17301268875598907,relu,tanh,elu,relu,tanh,256,0.45,,20,normal,softmax,categorical_crossentropy,6.00004,64,256,32,<class 'keras.optimizers.RMSprop'>,
336,9,3.6335811203263373,0.05622490122914314,5.31729993871155,0.15564462542533875,relu,relu,relu,elu,elu,256,0.25,,30,normal,softmax,categorical_crossentropy,8.000020000000001,32,128,256,<class 'keras.optimizers.RMSprop'>,
495,7,4.262684345245361,0.05622490122914314,4.050583326904154,0.15564462542533875,relu,relu,relu,relu,tanh,512,0.30000000000000004,,10,normal,softmax,categorical_crossentropy,9.000010000000001,128,64,128,<class 'keras.optimizers.RMSprop'>,
676,11,2.440434951858827,0.05622490122914314,3.23702767346012,0.13894455134868622,tanh,tanh,tanh,elu,elu,256,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,9.000010000000001,128,32,256,<class 'keras.optimizers.Adam'>,
1211,8,2.416635274887085,0.05622490122914314,2.368277047742743,0.21710087358951569,tanh,relu,relu,elu,tanh,512,0.0,,30,uniform,softmax,categorical_crossentropy,6.00004,64,256,256,<class 'keras.optimizers.RMSprop'>,
483,3,3.35122963798094,0.05622490122914314,2.6743896690781463,0.1422845721244812,elu,relu,elu,tanh,elu,256,0.15000000000000002,,10,uniform,softmax,categorical_crossentropy,6.00004,64,64,128,<class 'keras.optimizers.Adam'>,
1960,10,3.847935199737549,0.05622490122914314,3.4490497203054793,0.12825651466846466,elu,relu,elu,elu,tanh,512,0.05,,20,uniform,softmax,categorical_crossentropy,7.000030000000001,32,32,256,<class 'keras.optimizers.RMSprop'>,
1504,5,2.021217941759102,0.05622490122914314,2.0287705861335605,0.1690046787261963,elu,elu,relu,tanh,elu,256,0.25,,30,uniform,softmax,categorical_crossentropy,4.00006,32,64,128,<class 'keras.optimizers.Nadam'>,
1131,11,2.4837496280670166,0.05622490122914314,2.5087903992048326,0.16098864376544952,relu,tanh,relu,tanh,relu,512,0.0,,20,uniform,softmax,categorical_crossentropy,7.000030000000001,32,64,128,<class 'keras.optimizers.RMSprop'>,
665,5,2.199602358791244,0.05622490122914314,2.448710389191418,0.15698063373565674,tanh,elu,tanh,tanh,elu,256,0.35000000000000003,,10,normal,softmax,categorical_crossentropy,7.000030000000001,32,128,32,<class 'keras.optimizers.Adam'>,
1177,9,3.757873296737671,0.05622490122914314,3.4539456803876716,0.14762859046459198,relu,relu,tanh,relu,tanh,512,0.25,,30,normal,softmax,categorical_crossentropy,9.000010000000001,64,128,128,<class 'keras.optimizers.Nadam'>,
1963,4,1.9542415142059326,0.05622490122914314,1.951124473580059,0.13426853716373444,elu,tanh,elu,relu,relu,512,0.35000000000000003,,20,uniform,softmax,categorical_crossentropy,8.000020000000001,128,64,64,<class 'keras.optimizers.Adam'>,
1527,10,1.9495212102989594,0.05823293328285217,1.9420660431574566,0.1409485638141632,relu,tanh,tanh,relu,elu,256,0.0,,10,uniform,softmax,categorical_crossentropy,0.0001,64,32,256,<class 'keras.optimizers.SGD'>,
266,20,1.9742435102003166,0.05823293328285217,1.9631818736005642,0.12491650134325027,relu,tanh,elu,elu,elu,256,0.0,,20,normal,softmax,categorical_crossentropy,0.0001,128,256,32,<class 'keras.optimizers.RMSprop'>,
1292,20,1.9541910886764526,0.05823293328285217,1.9427674114505051,0.1663326621055603,tanh,tanh,elu,tanh,elu,512,0.30000000000000004,,20,uniform,softmax,categorical_crossentropy,0.0001,64,32,256,<class 'keras.optimizers.Adam'>,
628,2,1.9550445927194802,0.0602409653365612,1.9520569698923655,0.12892451882362366,elu,elu,elu,relu,relu,256,0.2,,10,uniform,softmax,categorical_crossentropy,9.000010000000001,32,64,128,<class 'keras.optimizers.Adam'>,
382,20,1.9577581882476807,0.06224899739027023,1.9520729717287766,0.13360053300857544,relu,relu,elu,tanh,elu,512,0.05,,20,uniform,softmax,categorical_crossentropy,0.0001,128,128,32,<class 'keras.optimizers.SGD'>,
339,10,1.9612371921539307,0.06425702571868896,1.9600839953304692,0.144956573843956,relu,tanh,elu,elu,tanh,512,0.35000000000000003,,10,uniform,softmax,categorical_crossentropy,0.0001,64,256,64,<class 'keras.optimizers.SGD'>,
1244,10,1.959091067314148,0.06425702571868896,1.9594653157608144,0.13092851638793945,elu,elu,elu,relu,tanh,512,0.4,,10,uniform,softmax,categorical_crossentropy,0.0001,64,32,128,<class 'keras.optimizers.RMSprop'>,
375,10,1.9497383832931519,0.06425702571868896,1.9430037019407262,0.1402805596590042,relu,relu,elu,tanh,elu,512,0.15000000000000002,,10,uniform,softmax,categorical_crossentropy,0.0001,128,32,128,<class 'keras.optimizers.Adam'>,
1647,30,1.953533411026001,0.0662650614976883,1.9405831818430919,0.146292582154274,relu,elu,relu,relu,elu,512,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,0.0001,64,128,256,<class 'keras.optimizers.Nadam'>,
222,10,1.9482135906755684,0.0662650614976883,1.9390909549149977,0.15096861124038696,relu,tanh,elu,tanh,elu,256,0.15000000000000002,,10,normal,softmax,categorical_crossentropy,0.0001,128,32,128,<class 'keras.optimizers.RMSprop'>,
1162,4,2.099082755276477,0.07228915393352509,1.8499034236253065,0.25317302346229553,tanh,tanh,elu,elu,tanh,256,0.45,,20,uniform,softmax,categorical_crossentropy,1.0000900000000001,32,64,128,<class 'keras.optimizers.Nadam'>,
1918,10,1.9600964784622192,0.07429718971252441,1.943743420666508,0.16967268288135529,tanh,relu,elu,tanh,tanh,512,0.45,,10,normal,softmax,categorical_crossentropy,0.0001,32,64,32,<class 'keras.optimizers.RMSprop'>,
696,30,1.9626209735870361,0.07831325381994247,1.9560927143077813,0.11356045305728912,relu,tanh,relu,relu,tanh,512,0.1,,30,uniform,softmax,categorical_crossentropy,0.0001,32,32,64,<class 'keras.optimizers.SGD'>,
1500,30,1.957959771156311,0.07831325381994247,1.9500007733712614,0.15698063373565674,elu,relu,relu,elu,elu,512,0.45,,30,normal,softmax,categorical_crossentropy,0.0001,64,256,128,<class 'keras.optimizers.Adam'>,
572,20,1.9623614956576183,0.08433734625577927,1.9783687808948434,0.13159652054309845,elu,tanh,elu,elu,elu,256,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,0.0001,32,128,64,<class 'keras.optimizers.Adam'>,
1456,6,2.004655122756958,0.08433734625577927,1.9515425576794203,0.17969271540641785,tanh,relu,elu,tanh,relu,512,0.0,,20,normal,softmax,categorical_crossentropy,2.0000800000000005,128,64,256,<class 'keras.optimizers.Nadam'>,
