,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
13,3,1.9322346903712875,0.20481927692890167,1.920176241106404,0.21710087358951569,relu,relu,tanh,tanh,elu,256,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,3.0000700000000005,64,256,256,<class 'keras.optimizers.SGD'>,
12,12,2.175083637237549,0.20481927692890167,2.365097950200837,0.13961255550384521,elu,tanh,tanh,elu,tanh,512,0.30000000000000004,,30,random_uniform,softmax,categorical_crossentropy,9.000010000000001,128,32,128,<class 'keras.optimizers.Adam'>,
11,20,1.9845380783081055,0.20481927692890167,2.1079984216110343,0.16098864376544952,tanh,elu,tanh,tanh,tanh,512,0.2,,30,random_uniform,softmax,categorical_crossentropy,1.0000900000000001,32,32,256,<class 'keras.optimizers.Nadam'>,
9,8,1.9329490661621094,0.20481927692890167,1.9192484858518613,0.21977287530899048,relu,elu,relu,relu,tanh,512,0.35000000000000003,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,32,256,256,<class 'keras.optimizers.SGD'>,
8,15,1.9467719793319702,0.20481927692890167,1.9178779005765436,0.21977287530899048,tanh,elu,tanh,tanh,elu,512,0.0,,30,uniform,softmax,categorical_crossentropy,7.000030000000001,128,32,32,<class 'keras.optimizers.Nadam'>,
7,3,1.9368571043014526,0.20481927692890167,1.9165222623305234,0.21977287530899048,relu,elu,elu,elu,elu,512,0.1,,30,random_uniform,softmax,categorical_crossentropy,6.00004,32,32,32,<class 'keras.optimizers.SGD'>,
6,6,3.837778100048203,0.20481927692890167,3.6712369163910705,0.1416165679693222,relu,tanh,elu,relu,tanh,256,0.0,,30,uniform,softmax,categorical_crossentropy,8.000020000000001,128,128,256,<class 'keras.optimizers.Nadam'>,
5,5,1.935802422374128,0.20481927692890167,1.9149304718356492,0.21843686699867249,relu,tanh,elu,tanh,tanh,256,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,7.000030000000001,128,256,64,<class 'keras.optimizers.SGD'>,
4,12,1.9814486996715805,0.20481927692890167,1.9959673851270554,0.17234468460083008,relu,tanh,tanh,tanh,tanh,256,0.1,,30,uniform,softmax,categorical_crossentropy,4.00006,128,128,64,<class 'keras.optimizers.Adam'>,
24,3,1.9320752347808285,0.20481927692890167,1.9263372114680972,0.21776887774467468,tanh,relu,relu,relu,elu,256,0.45,,30,normal,softmax,categorical_crossentropy,4.00006,128,32,32,<class 'keras.optimizers.SGD'>,
