round_epochs,loss,accuracy,val_loss,val_accuracy,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,neurons_layer_5,batch_size,epochs,dropout,kernel_initializer,weight_regulizer,emb_output_dims,optimizer,loss,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,last_activation
30,1.869119644165039,0.2745230793952942,1.9987599849700928,0.2269647717475891,0.0001,128,32,128,64,256,30,0.25,normal,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,elu,elu,relu,elu,relu,softmax
29,1.7053813934326172,0.29043909907341003,1.9733339548110962,0.24220867455005646,0.0001,64,64,32,64,256,30,0.35000000000000003,uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,elu,relu,elu,elu,elu,tanh,softmax
22,1.6363903284072876,0.29676035046577454,1.9793245792388916,0.18733061850070953,0.0001,64,128,64,256,256,30,0.4,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,tanh,relu,tanh,tanh,tanh,softmax
19,1.6905755996704102,0.295518696308136,1.9828087091445923,0.25508129596710205,0.0001,32,64,128,512,256,30,0.35000000000000003,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,relu,relu,tanh,tanh,relu,softmax
30,1.9471139907836914,0.29213228821754456,2.0314674377441406,0.22527100145816803,0.0001,64,32,32,128,512,30,0.1,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,elu,relu,relu,elu,relu,tanh,softmax
30,1.768979549407959,0.2809572219848633,1.9840646982192993,0.18597561120986938,0.0001,64,64,256,128,512,30,0.4,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,tanh,tanh,tanh,elu,tanh,softmax
27,1.6956523656845093,0.2849079966545105,1.9784973859786987,0.21883468329906464,0.0001,32,256,256,256,512,30,0.15000000000000002,normal,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,relu,elu,tanh,relu,relu,tanh,softmax
10,1.6903643608093262,0.2829890549182892,1.999149203300476,0.20596206188201904,0.0001,128,256,32,128,256,30,0.30000000000000004,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,tanh,elu,elu,tanh,tanh,tanh,softmax
30,2.080735206604004,0.25680097937583923,2.082113742828369,0.21036584675312042,0.0001,128,64,32,128,512,30,0.0,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,elu,elu,elu,tanh,elu,softmax
15,1.751822829246521,0.29427701234817505,1.986780047416687,0.19207316637039185,0.0001,64,128,64,512,512,30,0.0,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,relu,tanh,tanh,tanh,tanh,elu,softmax
30,1.812395453453064,0.29676035046577454,1.9930052757263184,0.19105690717697144,0.0001,64,64,64,64,256,30,0.2,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,tanh,relu,elu,elu,relu,softmax
30,1.785770058631897,0.28163450956344604,1.9906411170959473,0.22662602365016937,0.0001,64,256,256,64,256,30,0.35000000000000003,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,elu,tanh,relu,relu,tanh,softmax
16,1.6224690675735474,0.3001467287540436,1.9849456548690796,0.1880081295967102,0.0001,32,64,64,128,256,30,0.45,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,elu,relu,tanh,elu,elu,tanh,softmax
23,1.6167163848876953,0.30025961995124817,1.9723587036132812,0.21002709865570068,0.0001,64,64,64,512,512,30,0.35000000000000003,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,tanh,elu,relu,relu,elu,softmax
30,2.080747127532959,0.15046845376491547,2.0782101154327393,0.12703251838684082,0.0001,32,32,256,64,256,30,0.30000000000000004,uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,relu,relu,elu,tanh,relu,softmax
30,2.0964717864990234,0.07551642507314682,2.0795440673828125,0.10569106042385101,0.0001,64,256,128,64,512,30,0.45,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,elu,relu,relu,tanh,elu,relu,softmax
20,1.6494485139846802,0.28772997856140137,1.9780430793762207,0.1852981001138687,0.0001,128,64,128,128,512,30,0.35000000000000003,normal,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,elu,tanh,tanh,elu,elu,elu,softmax
30,2.079451560974121,0.02381758578121662,2.0734848976135254,0.07791327685117722,0.0001,64,128,64,256,512,30,0.15000000000000002,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,elu,elu,elu,tanh,relu,softmax
30,1.6313015222549438,0.29032620787620544,1.9812099933624268,0.18834687769412994,0.0001,32,64,128,128,256,30,0.35000000000000003,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,relu,elu,tanh,relu,relu,softmax
30,1.9786949157714844,0.24291680753231049,2.0418143272399902,0.22730351984500885,0.0001,64,64,32,64,512,30,0.4,normal,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,relu,tanh,relu,tanh,relu,relu,softmax
30,2.059515953063965,0.2951800525188446,2.0692827701568604,0.1880081295967102,0.0001,64,256,128,64,512,30,0.2,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,relu,relu,relu,elu,relu,softmax
30,1.7688859701156616,0.3000338673591614,1.9756593704223633,0.1981707364320755,0.0001,64,64,32,128,512,30,0.05,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,elu,tanh,relu,relu,elu,relu,softmax
15,1.6212948560714722,0.29664748907089233,1.9838953018188477,0.23102980852127075,0.0001,128,256,256,512,256,30,0.45,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,tanh,elu,relu,relu,relu,softmax
27,1.6834110021591187,0.28976181149482727,1.9829212427139282,0.2035907804965973,0.0001,128,64,64,512,512,30,0.25,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,tanh,tanh,elu,relu,tanh,softmax
30,1.941854476928711,0.2789253890514374,2.0149707794189453,0.2269647717475891,0.0001,128,256,32,64,256,30,0.0,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,relu,tanh,elu,elu,relu,softmax
30,1.7417603731155396,0.28806862235069275,1.982581615447998,0.255420058965683,0.0001,32,256,64,256,512,30,0.30000000000000004,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,relu,elu,tanh,relu,tanh,elu,softmax
30,2.1213021278381348,0.0015803137794137,2.0962042808532715,0.06842818111181259,0.0001,64,128,64,128,512,30,0.05,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,tanh,elu,elu,relu,tanh,relu,softmax
29,1.7239470481872559,0.2891974151134491,1.9763263463974,0.19207316637039185,0.0001,32,256,64,128,512,30,0.05,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,tanh,elu,elu,relu,relu,elu,softmax
30,2.074946403503418,0.0611807219684124,2.078281879425049,0.08672086894512177,0.0001,64,64,256,256,512,30,0.05,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,elu,elu,tanh,tanh,tanh,tanh,softmax
